      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    779.17362522      -0.01662570
    779.30358823       0.02356923
    779.43357292       0.02056246
    779.56357929       0.03091170
    779.69360734       0.01238089
    779.82365708      -0.00311327
    779.95372851       0.00523847
    780.08382164       0.01774070
    780.21393647      -0.00071860
    780.34407300       0.00818841
    780.47423124       0.01105208
    780.60441118       0.00607286
    780.73461284       0.00028387
    780.86483622      -0.01164604
    780.99508131       0.00877622
    781.12534814      -0.00504984
    781.25563669       0.01277459
    781.38594697       0.01697806
    781.51627898       0.00751960
    781.64663274       0.00403641
    781.77700824       0.01136049
    781.90740548       0.00630384
    782.03782447      -0.00633134
    782.16826522       0.00488478
    782.29872772       0.00371858
    782.42921199       0.01438131
    782.55971802      -0.00515465
    782.69024581      -0.00277207
    782.82079538       0.00594453
    782.95136673      -0.00323727
    783.08195985      -0.00118897
    783.21257475      -0.01729932
    783.34321144       0.00710285
    783.47386992       0.00097458
    783.60455020      -0.00563410
    783.73525227       0.00180983
    783.86597614       0.01132208
    783.99672181      -0.00252378
    784.12748930       0.00005356
    784.25827859      -0.00157695
    784.38908970       0.00722472
    784.51992263      -0.00735825
    784.65077738       0.00066824
    784.78165396      -0.00308170
    784.91255236      -0.00698609
    785.04347260       0.00459913
    785.17441468       0.00650250
    785.30537860       0.00063860
    785.43636436       0.01499671
    785.56737197       0.03501250
    785.69840143       0.00313508
    785.82945275       0.01486904
    785.96052592       0.00375615
    786.09162096       0.00937881
    786.22273786       0.02787942
    786.35387664      -0.00293622
    786.48503728       0.01094479
    786.61621981       0.00800381
    786.74742421       0.00967335
    786.87865050       0.00309145
    787.00989868       0.01700150
    787.14116875      -0.00134911
    787.27246071      -0.01109402
    787.40377458      -0.00311051
    787.53511034      -0.00468058
    787.66646801      -0.01250323
    787.79784760      -0.01533795
    787.92924909       0.00663102
    788.06067250      -0.00285249
    788.19211784      -0.00215244
    788.32358510      -0.00308575
    788.45507428      -0.00664470
    788.58658540       0.00178130
    788.71811845      -0.01221692
    788.84967345      -0.00129371
    788.98125038       0.01148491
    789.11284927       0.01821972
    789.24447010       0.00317587
    789.37611288       0.00471266
    789.50777763       0.01122235
    789.63946433      -0.00027465
    789.77117300       0.01111534
    789.90290364       0.01072795
    790.03465625       0.00845401
    790.16643084      -0.00583904
    790.29822740       0.00186621
    790.43004595       0.00194168
    790.56188649      -0.00102997
    790.69374901       0.01127468
    790.82563353       0.01373052
    790.95754005       0.00092478
    791.08946857       0.00427010
    791.22141910       0.00198709
    791.35339163       0.01433429
    791.48538617       0.01337831
    791.61740274       0.00464752
    791.74944132       0.00470440
    791.88150192       0.00666307
    792.01358456       0.01748209
    792.14568922       0.00383770
    792.27781592      -0.00756348
    792.40996465       0.01491877
    792.54213543       0.00374159
    792.67432826       0.00784723
    792.80654313       0.00597050
    792.93878005      -0.00072224
    793.07103904       0.00315601
    793.20332008       0.01025933
    793.33562319       0.00814915
    793.46794836       0.00071773
    793.60029560       0.00056666
    793.73266493       0.00348200
    793.86505632       0.00294100
    793.99746981       0.00441377
    794.12990537       0.01065044
    794.26236303       0.01472288
    794.39484278       0.00713633
    794.52734463       0.01344839
    794.65986858       0.02104311
    794.79241463       0.00143271
    794.92498279       0.00236500
