      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    757.45782536       0.01541562
    757.58416626       0.01389392
    757.71052824       0.12280636
    757.83691129       0.00663692
    757.96331543       0.00454309
    758.08974064       0.00471581
    758.21618694       0.00970107
    758.34265434      -0.01521554
    758.46914283       0.02466584
    758.59565241       0.01724428
    758.72218310       0.07480688
    758.84873489       0.01812395
    758.97530779       0.04877443
    759.10190181       0.02221687
    759.22851693      -0.01792547
    759.35515318      -0.03426030
    759.48181055       0.01275877
    759.60848904       0.01899568
    759.73518867      -0.00888488
    759.86190943      -0.00930481
    759.98865132      -0.02452520
    760.11541435      -0.00798613
    760.24219853       0.00816151
    760.36900386      -0.01163147
    760.49583033       0.01515164
    760.62267796      -0.01074561
    760.74954675       0.02352359
    760.87643670       0.00966268
    761.00334781       0.00701175
    761.13028009      -0.01077818
    761.25723354      -0.00288043
    761.38420817      -0.01550406
    761.51120398      -0.01635899
    761.63822097      -0.00427921
    761.76525915       0.02208290
    761.89231851      -0.02937655
    762.01939907       0.00358535
    762.14650082       0.00016501
    762.27362378       0.01661478
    762.40076794       0.01475493
    762.52793330       0.03204811
    762.65511988      -0.00312911
    762.78232767      -0.00630403
    762.90955668       0.02531932
    763.03680690       0.00148952
    763.16407836       0.00597956
    763.29137104       0.00403711
    763.41868496       0.01677209
    763.54602011      -0.04013178
    763.67337649      -0.02679455
    763.80075413       0.01928588
    763.92815300       0.04192966
    764.05557313      -0.00522242
    764.18301451       0.01179563
    764.31047715       0.02046483
    764.43796104       0.00035063
    764.56546620      -0.02661010
    764.69299263       0.00106457
    764.82054033       0.01692064
    764.94810931      -0.02748906
    765.07569956       0.00067118
    765.20331109      -0.01316807
    765.33094391      -0.00227722
    765.45859802       0.00941057
    765.58627341       0.00330692
    765.71397011      -0.00323336
    765.84168810       0.00476338
    765.96942740       0.01427892
    766.09718800      -0.00145364
    766.22496992       0.00929426
    766.35277314       0.01160321
    766.48059769       0.00427245
    766.60844355      -0.00927692
    766.73631074       0.02907755
    766.86419926       0.00095092
    766.99210910      -0.00264341
    767.12004029       0.00473811
    767.24799281      -0.01209115
    767.37596667       0.00202508
    767.50396188       0.00367797
    767.63197844      -0.00451567
    767.76001635       0.00981593
    767.88807561       0.00091616
    768.01615624       0.00331069
    768.14425823      -0.00036685
    768.27238158       0.00920908
    768.40052631       0.00076197
    768.52869241      -0.00487154
    768.65687989       0.01112904
    768.78508875      -0.00659156
    768.91331899      -0.00316424
    769.04157063       0.02240216
    769.16984365       0.00453019
    769.29813807       0.01092383
    769.42645389      -0.00013992
    769.55479111      -0.01201738
    769.68314974      -0.01693039
    769.81152977      -0.00395367
    769.93993123      -0.00453969
    770.06835409       0.01778842
    770.19679838       0.03353352
    770.32526409       0.00144522
    770.45375123       0.01092831
    770.58225980      -0.00118100
    770.71078981      -0.00677571
    770.83934125       0.01915025
    770.96791414       0.04178411
    771.09650847       0.04132656
    771.22512425       0.01690555
    771.35376148       0.01039295
    771.48242017       0.00090109
    771.61110031      -0.00133907
    771.73980193       0.00446697
    771.86852500      -0.01053477
    771.99726955       0.00854242
    772.12603558       0.00032040
    772.25482308      -0.01089802
    772.38363206       0.01751269
    772.51246253      -0.01143851
    772.64131448      -0.01963449
    772.77018793       0.00212390
    772.89908287       0.00226062
    773.02799931      -0.00689265
    773.15693726       0.00489396
    773.28589671       0.00480999
    773.41487767       0.03243770
    773.54388014      -0.00421731
    773.67290413       0.02105417
    773.80194965       0.00505046
    773.93101668       0.03811018
    774.06010525       0.01478708
    774.18921534       0.01750669
    774.31834697       0.00034012
    774.44750014       0.02689448
    774.57667485       0.00403210
    774.70587111       0.01117974
    774.83508892       0.00523155
    774.96432828      -0.01005077
    775.09358919       0.00235442
    775.22287167       0.00387824
    775.35217571       0.00137183
    775.48150132       0.00109093
    775.61084850       0.00193955
    775.74021725      -0.01264958
    775.86960758       0.02704107
    775.99901950       0.00418794
    776.12845299      -0.01152254
    776.25790808       0.00243009
    776.38738476      -0.02492013
    776.51688304      -0.00644350
    776.64640292       0.00770365
    776.77594439      -0.00102999
    776.90550748       0.01795262
    777.03509218      -0.01277145
    777.16469849      -0.00344966
    777.29432642       0.02801690
    777.42397597       0.01809113
    777.55364715       0.03150759
    777.68333995       0.00534538
    777.81305439       0.00378261
    777.94279046       0.01013107
    778.07254817       0.01294970
    778.20232753       0.00191393
    778.33212853      -0.01166055
    778.46195118       0.00537729
    778.59179548       0.00267183
    778.72166145       0.02210731
    778.85154907       0.00800677
    778.98145836       0.00337142
    779.11138932      -0.00116317
    779.24134195       0.00152709
    779.37131625       0.00067292
    779.50131224       0.01968399
    779.63132990       0.04083148
    779.76136926       0.01510869
    779.89143030      -0.02154894
    780.02151304       0.00874178
    780.15161747      -0.00704437
    780.28174361      -0.00223760
    780.41189145       0.00872719
    780.54206100       0.01677912
    780.67225226       0.00495777
    780.80246523       0.02530090
    780.93269992      -0.00218073
    781.06295634       0.01659477
